Page,Element_Type,Confidence,X_Min,Y_Min,X_Max,Y_Max,Width,Height,Area,Reading_Order
29,Section-header,0.804,81,751,125,768,44,17,748,16
29,Text,0.812,81,787,183,837,102,50,5100,17
29,Text,0.762,81,856,224,923,143,67,9581,18
30,Text,0.738,80,99,416,708,336,609,204624,1
32,Section-header,0.764,300,92,410,113,110,21,2310,1
32,Text,0.547,81,125,574,145,493,20,9860,2
32,Section-header,0.699,81,158,160,175,79,17,1343,3
32,Text,0.964,80,189,620,241,540,52,28080,4
32,Text,0.636,81,254,134,272,53,18,954,5
32,Text,0.866,80,285,635,337,555,52,28860,6
32,Text,0.821,80,335,645,404,565,69,38985,7
32,Section-header,0.522,81,418,122,436,41,18,738,8
32,Text,0.736,80,459,433,1011,353,552,194856,9
33,Text,0.955,80,94,458,997,378,903,341334,1
34,Text,0.524,94,96,346,128,252,32,8064,1
34,Section-header,0.732,81,296,133,312,52,16,832,2
